,user_ID,name,affiliation
165,qQJDFmEAAAAJ,Pattarin Pirompanich,Thammasat University
166,G3WUmckAAAAJ,Asst.Prof. Dr. Tanatorn Tanantong,"Department of Computer Science, Thammasat University"
167,N5APA98AAAAJ,Wasit Limprasert,Thammasat University
168,qKEumTMAAAAJ,Assoc. Prof. Dr. Nidtaya Takviriyanun,"Faculty of Nursing, Thammasat University"
169,0axTu80AAAAJ,Winchana Srivilaithon,Thammasat University
170,8cHPaJgAAAAJ,Yukti Mukdawijitra,"Faculty of Sociology and Anthropology, Thammasat University"
171,9oCT6R0AAAAJ,Piyaphong Panpisut,"Faculty of Dentistry, Thammasat University"
172,ItLUYmwAAAAJ,Warut Pannakkong,"Sirindhorn International Institute of Technology, Thammasat University"
173,Uaa1KsoAAAAJ,Ali Turab,Thammasat University
174,29a2yH0AAAAJ,W. Marurngsith (Diaz Carballo),"Assistant Professor of Computer Science, Thammasat University"
175,XXllPi4AAAAJ,"Irfan Ahmad, PhD","SIIT, Thammasat University"
176,dJU_ZQMAAAAJ,Wilaiporn Kotbungkair,Thammasat University
177,4JcGoFYAAAAJ,"Asst. Prof. Pimonmart Wankanapon, PhD","Faculty of Architecture and Planning,Thammasat University"
178,bcJvUQUAAAAJ,Pornraht Pongprasert,"Lecturer, Real Estate Business Department, Thammasat Business School, Thammasat …"
179,9B2xPZwAAAAJ,Sakkakom Maneenop,"Department of Finance, Thammasat Business School"
180,pvCnCF0AAAAJ,Nunthika Puthikanon,Thammasat University
181,MX7TAskAAAAJ,Tipsuda Chaipiboonwong ( ทิพย์สุดา ไชยไพบูลย์วงศ์ ),"Department of Physics, Thammasat University"
182,dFNZTekAAAAJ,Natenapha Yabushita,Thammasat Business School
183,HLXaHaQAAAAJ,Thoetphum Benyakorn,"Assistant Professor of Surgery, Thammasat University"
184,sPNLbBEAAAAJ,Pasitpon Vatcharavongvan,"Faculty of medicine, Thammasat University"
185,THq7zHkAAAAJ,Pana Suttakul,"Sirindhorn International Institute of Technology, Thammasat University"
186,_6Bg2wMAAAAJ,Riza Eka Saputra,"Master's Student at Sirindhorn International Institute of Technology (SIIT), Thammasat …"
187,USNdDDcAAAAJ,Mahesh Kumar Sharma,"Department of Electrical and Computer Engineering, Thammasat University, Rangsit …"
188,O5v1JZwAAAAJ,Pongphan Leelatien,Thammasat University
189,PkFWEbUAAAAJ,Charlie Thame,"Assistant Professor in International Relations, Thammasat University"
190,_yizwDoAAAAJ,Patchanok Srisuradetchai,Thammasat University
191,HI_T5EQAAAAJ,boonanan natakun,"Lecturer in interior architecture, Faculty of Architecture and Planning, Thammasat University"
192,4Qnf3T0AAAAJ,Kedwadee Sombultawee,Assistant professor of Thammasat University
193,TSl-lysAAAAJ,Krittakom Srijiranon,"Department of Computer Science, Faculty of Science and Technology, Thammasat …"
194,izbSPNwAAAAJ,Vanlee Siriganjanavong,Thammasat University
195,D6PmTr8AAAAJ,Chatphorn Theppitak,Thammasat University
196,INGqUvAAAAAJ,Pimsiri Taylor,"The Language Institute, Thammasat University"
197,ZfF9ubwAAAAJ,Ray Wang,Thammasat University
198,9XBboDkAAAAJ,Laliphat Manamanchaiyaporn,"Department of Mechanical Engineering, Thammasat University"
199,g3Jq1TkAAAAJ,Dichapong Pongpattrachai,Thammasat Business School
200,ICKbTXkAAAAJ,Le Kim Hoang Pham,"Ph.D student, Thammasat University"
201,q1CwtV8AAAAJ,Anh Tuan Ta,Thammasat University
202,0ixSekYAAAAJ,Panitharn Juntongjin,Thammasat Business School
203,qk2DoWMAAAAJ,"Teerachai Arunruangsirilert, PhD, CPA, FAC","Assistant Professor of Accounting Department, Thammasat Business School, Thammasat …"
204,ASISt-UAAAAJ,Neil Bowen,"Lecturer, Thammasat University"
205,7XxhxlsAAAAJ,Euamporn Phijaisanit (เอื้อมพร พิชัยสนิธ),"Professor of Economics, Thammasat University"
206,As7myZIAAAAJ,Tiraphap Fakthong,"Lecturer in Economics, Thammasat University"
207,N08YncAAAAAJ,Prapimphan Chiengkul,"Assistant Professor at Faculty of Political Science, Thammasat University"
208,_7fILAQAAAAJ,John Chocce,Thammasat University
209,SkUKkNUcfwAC,Sayambhu Saita,"Faculty of Public Health, Thammasat University"
210,lxGhO6UAAAAJ,Bipul Neupane,Sirindhorn International Institute of Technology
211,LhsrvBN9-nAC,"Jinpitcha Mamom (Mamom, J),RN,APN,MNS,Ph.D","Associate Professor of Faculty of Nursing,Thammasat University"
212,n-F4VHUAAAAJ,Sirisilp Kongsilp,"Lecturer, Thammasat University"
213,q9z33g4AAAAJ,ChomChuen Somprasert.Ph.D.,"Assistant Professor,Faculty of Nursing ,Thammasat University"
214,qTFHbHcAAAAJ,Jurairat Boonruab,Thammasat University
215,Ii3pam0AAAAJ,Aua-aree Boonperm,"Department of Mathematics and Statistics, Faculty of Science and Technology, Thammasat …"
216,eC_Fj1MAAAAJ,Dr.Pongsagon Vichitvejpaisal,"Faculty of Science and Technology, Thammasat University"
217,Ah17OAUAAAAJ,Pyae Pyae Phyo,"Sirindhorn International Institute of Technology, Thammasat University"
218,K59DsAYAAAAJ,Lalin Kovudhikulrungsri,Thammasat University
219,uYC0ev0AAAAJ,Dr.Jittipat Poonkham,"Assistant Professor in International Relations, Thammasat University"
220,UYBOrx8AAAAJ,Nattagorn Choochouy,"Faculty of Public Health, Thammasat University"
221,yTuDX_AAAAAJ,Methawut Peerapornvitoon,Thammasat Business School
222,bEJVMRkAAAAJ,Niti Rattanaprichavej,"Lecturer at Thammasat Business School, Thammasat University"
223,j1EEDVAAAAAJ,Rujira Chaysiri,"Sirindhorn International Institute of Technology, Thammasat University"
224,WACc7p8AAAAJ,Norapon Sukuntee,Thammasat University
225,CqXuJJEAAAAJ,Yanisa Chaiya,Thammasat University
226,Inr0vGsAAAAJ,Deepshikha Bhargava,Ph.D fellow at Thammasat University
227,0zYPUFYAAAAJ,Istvan Rado,"Lecturer, Thammasat University"
228,IcyU_o8AAAAJ,Pachara Pacharavanich,Thammasat University
229,GpXErcoAAAAJ,Mijanur Rahman,"Research Faculty, Sirindhorn International Institute of Technology, Thammasat University …"
230,F1KNLPoAAAAJ,Natee Sirisit,"Lecturer, Faculty of Science and Technology, Thammasat University"
231,j_-vVloAAAAJ,Wannipat Buated,"Lecturer of Physical Therapy, Thammasat University, Thailand"
232,GPHC1nYAAAAJ,Anuchit Toomaneejinda,Thammasat University
233,sqL68ngAAAAJ,Saung Hnin Pwint Oo,"Sirindhorn International Institute of Technology, Thammasat University"
234,AQJjKigAAAAJ,Surat Teerakapibal,"Thammasat Business School, Thammasat University"
235,O24K-w4AAAAJ,Preechaya Mongkolhutthi,Thammasat University
236,Y57MuVQAAAAJ,Munin Pongsapan,"Dean and Associate Professor, Faculty of Law, Thammasat University"
237,ks55vhEAAAAJ,Joshua D. Bernstein,Thammasat University
238,iSFagm4AAAAJ,Wilasinee Pananakhonsab,Thammasat University
239,DCooF0wAAAAJ,Dipendra KC,Thammasat University
240,WPuwUZMAAAAJ,Peraset Chompuming,Thammasat Business School
241,9mytLJIAAAAJ,Sarunwit Promsaka Na Sakonnakron,"University instructor, Thammasat University"
242,dq3WmHQAAAAJ,Nantapath Trakultraipruk,"Lecturer of Mathematics, Thammasat University"
243,p9PelikAAAAJ,Winyu Ardrugsa (วิญญู อาจรักษา),"Lecturer, Faculty of Architecture and Planning, Thammasat University"
244,ipJcMJcAAAAJ,Napong Tao Rugkhapan,"School of Global Studies, Thammasat University"
245,A2k2QQkAAAAJ,Wanissa Suanin,Thammsat University
246,iMRlM8sAAAAJ,Thanyaporn Soontornthum,Thammasat University
247,HybQ8ngAAAAJ,Harald Kraus,"Lecturer, Thammasat University, Thailand"
248,d2mMM0AAAAAJ,Romrawin Chumpu,Sirindhorn International Institute of Technology
249,vR6Vn6kAAAAJ,Winai Nadee,Thammasat Business School
250,zET-XbsAAAAJ,Tin Tin Khaing,"School of ICT, Sirindhorn International Institute of Technology, Thammasat University"
251,G047LH0AAAAJ,Anutchanat Jaroenjitrkam,Thammasat Business School
252,rMOfJy0AAAAJ,Fa Likitswat,"Assistant Professor of Landscape Architecture, Thammasat University"
253,dcVpvJIAAAAJ,Kornkamon Tantiwanit,"Assistant Professor, Thammasat University"
254,Ax9NZsUAAAAJ,Thanaruk T.,"Sirindhorn International Institute of Technology, Thammasat University"
255,TYPnwPUAAAAJ,Naris Charoenporn,"Faculty of Engineering, Thammasat University, Thailand"
256,2UnQJJoAAAAJ,Suwadee Jiajaroen,Thammasat University
257,CWvrgp8AAAAJ,Somkiat Kosolsombat,Thammasat University
258,Pujc2AoAAAAJ,Sukrit Vinayavekhin (Bank),"Lecturer of Innovation and Operations Management, Thammasat Business School"
259,Dlt8lIMAAAAJ,Panjasit Chokesamritpol,"PhD Candidate, Thammasat University"
260,CgtsqesAAAAJ,Jirapa Tangsritrakul,"Faculty of Science and Technology, Thammasat University"
261,85EifHMAAAAJ,Vimolchaya Yanasugondha,"Assistant Professor, Language Institute, Thammasat University"
262,JHcgfJAAAAAJ,Lapinee Kosonboon,Thammasat Business School
263,Nbx28GwAAAAJ,Alisara Rungnontarat CHARINSARN,Thammasat Business School
264,tVti2RUAAAAJ,Asan Suwannarit,"Faculty of Architecture and Planning, Thammasat University"
265,gsZZQLcAAAAJ,Supa Vittaporn,Thammasat University
266,qVvRRnYAAAAJ,Sustarum Thammaboosadee,Associate Professor Thammasat University
267,r7Sq8sEAAAAJ,Raisha Shrestha,Thammasat University
268,EolBIDUAAAAJ,surachai tumtavitikul,"Thammasat Business School, Thammasat University"
269,Ap9OHc8AAAAJ,Pattaramas Jantasin,"Lecturer, Language Institute, Thammasat University"
270,gp62eGMAAAAJ,Prakirati Satasut,"Faculty of Sociology and Anthropology, Thammasat University"
271,ZfaOXTIAAAAJ,Akanksha Bhurtel,"Sirindhorn International Institute of Technology, Thammasat University"
